city ,town id,village id,valid vote,spoiled vote,voter,Election of population,votes of Hsieh Chang-ting(DPP),votes of Ma Ying-jeou (KMT)
Taipei County,1000101,1000101025,1710,18,1728,2131,756,954
Taipei County,1000101,1000101026,2107,15,2122,2637,912,1195
Taipei County,1000101,1000101027,1549,20,1569,1992,677,872
Taipei County,1000101,1000101028,3518,35,3553,4421,1432,2086
Taipei County,1000101,1000101029,3226,39,3265,4143,1491,1735
Taipei County,1000101,1000101030,3452,34,3486,4400,1629,1823
Taipei County,1000101,1000101031,3830,48,3878,4906,1777,2053
Taipei County,1000101,1000101032,2443,23,2466,3192,983,1460
Taipei County,1000101,1000101033,2892,21,2913,3674,1245,1647
Taipei County,1000101,1000101034,2098,25,2123,2718,1142,956
Taipei County,1000101,1000101035,5142,39,5181,6414,2188,2954
Taipei County,1000101,1000101036,2570,30,2600,3178,1252,1318
Taipei County,1000101,1000101037,4274,35,4309,5312,1704,2570
Taipei County,1000101,1000101038,2119,25,2144,2717,1083,1036
Taipei County,1000101,1000101039,3229,33,3262,4145,1541,1688
Taipei County,1000101,1000101040,2394,24,2418,3070,1073,1321
Taipei County,1000101,1000101041,2368,28,2396,3033,1046,1322
Taipei County,1000101,1000101042,3200,31,3231,4036,1564,1636
Taipei County,1000101,1000101043,2326,22,2348,2931,1096,1230
Taipei County,1000101,1000101044,6074,50,6124,7529,2354,3720
Taipei County,1000101,1000101045,1698,13,1711,2227,829,869
Taipei County,1000101,1000101046,2774,40,2814,3552,1220,1554
Taipei County,1000101,1000101047,1940,28,1968,2581,950,990
Taipei County,1000101,1000101048,3834,47,3881,4986,1798,2036
Taipei County,1000101,1000101049,1013,14,1027,1321,411,602
Taipei County,1000101,1000101050,3911,47,3958,5059,1726,2185
Taipei County,1000101,1000101051,2981,22,3003,3713,1450,1531
Taipei County,1000101,1000101052,2761,20,2781,3539,1357,1404
Taipei County,1000101,1000101053,2075,18,2093,2662,931,1144
Taipei County,1000101,1000101054,3596,40,3636,4550,1601,1995
Taipei County,1000101,1000101055,1937,25,1962,2401,858,1079
Taipei County,1000101,1000101056,2221,20,2241,2809,873,1348
Taipei County,1000101,1000101057,4679,42,4721,5925,1927,2752
Taipei County,1000101,1000101058,1889,27,1916,2382,883,1006
Taipei County,1000101,1000101059,3344,30,3374,4291,1488,1856
Taipei County,1000101,1000101060,2022,17,2039,2509,905,1117
Taipei County,1000101,1000101061,2473,19,2492,3122,1074,1399
Taipei County,1000101,1000101062,2261,15,2276,2876,1012,1249
Taipei County,1000101,1000101063,2478,33,2511,3138,1132,1346
Taipei County,1000101,1000101064,2308,26,2334,2978,992,1316
Taipei County,1000101,1000101065,3640,30,3670,4602,1351,2289
Taipei County,1000101,1000101066,2496,28,2524,3161,1040,1456
Taipei County,1000101,1000101067,1837,16,1853,2312,788,1049
Taipei County,1000101,1000101068,3094,23,3117,3850,1462,1632
Taipei County,1000101,1000101069,2816,36,2852,3506,1184,1632
Taipei County,1000101,1000101070,1435,15,1450,1805,533,902
Taipei County,1000101,1000101071,2505,29,2534,3193,871,1634
Taipei County,1000101,1000101072,2607,24,2631,3251,1102,1505
Taipei County,1000101,1000101073,2278,10,2288,2865,821,1457
Taipei County,1000101,1000101074,3379,34,3413,4346,1411,1968
Taipei County,1000101,1000101075,2210,18,2228,2780,891,1319
Taipei County,1000101,1000101076,2244,17,2261,2775,976,1268
Taipei County,1000101,1000101077,2297,26,2323,2944,922,1375
Taipei County,1000101,1000101078,3992,41,4033,5024,1552,2440
Taipei County,1000101,1000101079,3090,30,3120,3985,1180,1910
Taipei County,1000101,1000101080,5332,49,5381,6936,2033,3299
Taipei County,1000101,1000101081,2178,28,2206,2701,611,1567
Taipei County,1000101,1000101082,1008,9,1017,1279,379,629
Taipei County,1000101,1000101083,2449,21,2470,3205,1070,1379
Taipei County,1000101,1000101084,2618,26,2644,3352,1041,1577
Taipei County,1000101,1000101085,1897,25,1922,2412,791,1106
Taipei County,1000101,1000101086,4136,32,4168,5337,1566,2570
Taipei County,1000101,1000101087,3907,32,3939,4940,1259,2648
Taipei County,1000101,1000101088,2741,24,2765,3486,1110,1631
Taipei County,1000101,1000101089,2454,29,2483,3595,1119,1335
Taipei County,1000101,1000101090,3380,37,3417,4450,1597,1783
Taipei County,1000101,1000101091,2457,31,2488,3250,1081,1376
Taipei County,1000101,1000101092,2393,26,2419,3194,962,1431
Taipei County,1000101,1000101093,1244,23,1267,1764,278,966
Taipei County,1000101,1000101094,2781,37,2818,3606,1171,1610
Taipei County,1000101,1000101095,1746,25,1771,2243,676,1070
Taipei County,1000101,1000101096,3471,40,3511,4543,1540,1931
Taipei County,1000101,1000101097,1862,17,1879,2409,866,996
Taipei County,1000101,1000101098,5161,64,5225,6872,2089,3072
Taipei County,1000101,1000101099,3669,34,3703,4787,1528,2141
Taipei County,1000101,1000101100,2228,19,2247,2847,917,1311
Taipei County,1000101,1000101101,1784,22,1806,2303,782,1002
Taipei County,1000101,1000101102,3088,30,3118,3843,1340,1748
Taipei County,1000101,1000101103,2109,30,2139,2629,880,1229
Taipei County,1000101,1000101104,2061,14,2075,2593,965,1096
Taipei County,1000101,1000101105,2347,18,2365,3069,1064,1283
Taipei County,1000101,1000101106,2004,25,2029,2602,907,1097
Taipei County,1000101,1000101107,1532,12,1544,1956,630,902
Taipei County,1000101,1000101108,2118,21,2139,2615,970,1148
Taipei County,1000101,1000101109,1353,14,1367,1701,638,715
Taipei County,1000101,1000101110,2508,24,2532,3176,925,1583
Taipei County,1000101,1000101111,1422,11,1433,1819,540,882
Taipei County,1000101,1000101112,2527,24,2551,3301,1063,1464
Taipei County,1000101,1000101113,3205,33,3238,4285,1327,1878
Taipei County,1000101,1000101114,1732,14,1746,2244,631,1101
Taipei County,1000101,1000101115,1478,13,1491,1829,553,925
Taipei County,1000101,1000101116,1919,21,1940,2425,862,1057
Taipei County,1000101,1000101117,2333,21,2354,2955,1110,1223
Taipei County,1000101,1000101118,1407,13,1420,1814,668,739
Taipei County,1000101,1000101119,2523,34,2557,3170,1193,1330
Taipei County,1000101,1000101120,2049,25,2074,2607,927,1122
Taipei County,1000101,1000101121,2536,22,2558,3087,1063,1473
Taipei County,1000101,1000101122,1721,14,1735,2140,790,931
Taipei County,1000101,1000101123,2864,30,2894,3662,1194,1670
Taipei County,1000101,1000101124,7102,69,7171,9300,2752,4350
Taipei County,1000101,1000101125,2237,23,2260,2885,1074,1163
Taipei County,1000101,1000101126,817,5,822,1061,371,446
Taipei County,1000102,1000102001,3077,28,3105,3971,1428,1649
Taipei County,1000102,1000102002,1376,19,1395,1777,693,683
Taipei County,1000102,1000102003,1421,17,1438,1849,748,673
Taipei County,1000102,1000102004,913,6,919,1130,483,430
Taipei County,1000102,1000102005,2370,20,2390,3047,1148,1222
Taipei County,1000102,1000102006,328,4,332,393,171,157
Taipei County,1000102,1000102007,3555,29,3584,4506,1490,2065
Taipei County,1000102,1000102008,3356,26,3382,4176,1440,1916
Taipei County,1000102,1000102009,2246,23,2269,2849,1048,1198
Taipei County,1000102,1000102010,3849,44,3893,6028,1448,2401
Taipei County,1000102,1000102011,1395,11,1406,1796,667,728
Taipei County,1000102,1000102012,2218,17,2235,2732,1036,1182
Taipei County,1000102,1000102013,2871,19,2890,3591,1246,1625
Taipei County,1000102,1000102014,4056,39,4095,5069,1887,2169
Taipei County,1000102,1000102015,2706,26,2732,3451,1258,1448
Taipei County,1000102,1000102016,2466,21,2487,3022,1219,1247
Taipei County,1000102,1000102017,3922,34,3956,4867,2040,1882
Taipei County,1000102,1000102018,4035,36,4071,5025,1826,2209
Taipei County,1000102,1000102019,2064,25,2089,2669,985,1079
Taipei County,1000102,1000102020,4252,55,4307,5435,1827,2425
Taipei County,1000102,1000102021,1236,17,1253,1628,450,786
Taipei County,1000102,1000102022,1022,8,1030,1372,375,647
Taipei County,1000102,1000102023,1192,10,1202,1540,431,761
Taipei County,1000102,1000102024,1428,16,1444,1792,607,821
Taipei County,1000102,1000102025,1243,13,1256,1571,519,724
Taipei County,1000102,1000102026,939,18,957,1202,408,531
Taipei County,1000102,1000102027,1012,17,1029,1336,412,600
Taipei County,1000102,1000102028,1210,14,1224,1588,531,679
Taipei County,1000102,1000102029,892,16,908,1156,359,533
Taipei County,1000102,1000102030,1057,16,1073,1409,461,596
Taipei County,1000102,1000102031,1113,15,1128,1430,447,666
Taipei County,1000102,1000102032,1390,19,1409,1865,674,716
Taipei County,1000102,1000102033,1225,16,1241,1593,574,651
Taipei County,1000102,1000102034,812,12,824,1031,360,452
Taipei County,1000102,1000102035,827,12,839,1056,387,440
Taipei County,1000102,1000102036,1116,12,1128,1370,477,639
Taipei County,1000102,1000102037,652,5,657,801,330,322
Taipei County,1000102,1000102038,1299,8,1307,1697,545,754
Taipei County,1000102,1000102039,2591,20,2611,3293,1088,1503
Taipei County,1000102,1000102040,969,10,979,1210,411,558
Taipei County,1000102,1000102041,1665,16,1681,2090,785,880
Taipei County,1000102,1000102042,1668,11,1679,2154,784,884
Taipei County,1000102,1000102043,1807,18,1825,2241,799,1008
Taipei County,1000102,1000102044,2365,22,2387,3033,1036,1329
Taipei County,1000102,1000102045,2821,26,2847,3635,1371,1450
Taipei County,1000102,1000102046,1064,15,1079,1351,530,534
Taipei County,1000102,1000102047,829,6,835,1029,421,408
Taipei County,1000102,1000102048,1253,12,1265,1545,584,669
Taipei County,1000102,1000102049,1363,11,1374,1705,596,767
Taipei County,1000102,1000102050,1254,14,1268,1603,584,670
Taipei County,1000102,1000102051,1654,15,1669,2073,806,848
Taipei County,1000102,1000102052,1218,14,1232,1550,591,627
Taipei County,1000102,1000102053,672,2,674,870,310,362
Taipei County,1000102,1000102054,1129,12,1141,1475,490,639
Taipei County,1000102,1000102055,1340,11,1351,1746,610,730
Taipei County,1000102,1000102056,1488,21,1509,1944,662,826
Taipei County,1000102,1000102057,1337,15,1352,1748,597,740
Taipei County,1000102,1000102058,620,2,622,814,326,294
Taipei County,1000102,1000102059,1039,16,1055,1333,518,521
Taipei County,1000102,1000102060,581,11,592,708,265,316
Taipei County,1000102,1000102061,1738,37,1775,2259,778,960
Taipei County,1000102,1000102062,1347,14,1361,1744,657,690
Taipei County,1000102,1000102063,1515,11,1526,2047,729,786
Taipei County,1000102,1000102064,1111,11,1122,1434,542,569
Taipei County,1000102,1000102065,842,12,854,1106,380,462
Taipei County,1000102,1000102066,1401,17,1418,1785,598,803
Taipei County,1000102,1000102067,1567,12,1579,2099,746,821
Taipei County,1000102,1000102068,2151,12,2163,2742,1027,1124
Taipei County,1000102,1000102069,1249,14,1263,1649,601,648
Taipei County,1000102,1000102070,935,12,947,1153,426,509
Taipei County,1000102,1000102071,1039,6,1045,1333,547,492
Taipei County,1000102,1000102072,1782,17,1799,2315,818,964
Taipei County,1000102,1000102073,2016,29,2045,2633,976,1040
Taipei County,1000102,1000102074,1275,7,1282,1625,580,695
Taipei County,1000102,1000102075,1426,22,1448,1869,703,723
Taipei County,1000102,1000102076,2962,33,2995,3816,1430,1532
Taipei County,1000102,1000102077,2505,28,2533,3173,1187,1318
Taipei County,1000102,1000102078,3494,30,3524,4479,1815,1679
Taipei County,1000102,1000102079,1471,18,1489,1922,671,800
Taipei County,1000102,1000102080,1238,10,1248,1598,570,668
Taipei County,1000102,1000102081,1588,11,1599,2013,786,802
Taipei County,1000102,1000102082,2734,32,2766,3487,1354,1380
Taipei County,1000102,1000102083,2286,24,2310,2821,1096,1190
Taipei County,1000102,1000102084,1927,22,1949,2481,967,960
Taipei County,1000102,1000102085,2103,21,2124,2699,913,1190
Taipei County,1000102,1000102086,2433,23,2456,3061,1175,1258
Taipei County,1000102,1000102087,3190,34,3224,4031,1578,1612
Taipei County,1000102,1000102088,2236,18,2254,2877,1092,1144
Taipei County,1000102,1000102089,3350,25,3375,4270,1654,1696
Taipei County,1000102,1000102090,3671,24,3695,4715,1819,1852
Taipei County,1000102,1000102091,2497,24,2521,3188,1116,1381
Taipei County,1000102,1000102092,1696,24,1720,2203,908,788
Taipei County,1000102,1000102093,4710,56,4766,5999,2224,2486
Taipei County,1000102,1000102094,2534,23,2557,3329,1189,1345
Taipei County,1000102,1000102095,2724,42,2766,3452,1350,1374
Taipei County,1000102,1000102096,1844,28,1872,2413,881,963
Taipei County,1000102,1000102097,2068,26,2094,2711,942,1126
Taipei County,1000102,1000102098,1502,9,1511,1977,754,748
Taipei County,1000102,1000102099,1658,19,1677,2124,799,859
Taipei County,1000102,1000102100,1547,24,1571,1975,787,760
Taipei County,1000102,1000102101,2496,32,2528,3225,1255,1241
Taipei County,1000102,1000102102,1607,25,1632,2097,748,859
Taipei County,1000102,1000102103,2891,38,2929,3773,1478,1413
Taipei County,1000102,1000102104,2481,25,2506,3126,1314,1167
Taipei County,1000102,1000102105,2166,30,2196,2817,1034,1132
Taipei County,1000102,1000102106,1843,33,1876,2427,858,985
Taipei County,1000102,1000102107,1406,21,1427,1872,684,722
Taipei County,1000102,1000102108,1978,32,2010,2557,881,1097
Taipei County,1000102,1000102109,1343,13,1356,1708,671,672
Taipei County,1000102,1000102110,3073,40,3113,3845,1350,1723
Taipei County,1000102,1000102111,2569,16,2585,3305,1227,1342
Taipei County,1000102,1000102112,1925,22,1947,2432,958,967
Taipei County,1000102,1000102113,3032,31,3063,3824,1630,1402
Taipei County,1000102,1000102114,3106,27,3133,4059,1583,1523
Taipei County,1000102,1000102115,3467,31,3498,4522,1723,1744
Taipei County,1000102,1000102116,2214,19,2233,2779,1112,1102
Taipei County,1000102,1000102117,2423,31,2454,3072,1181,1242
Taipei County,1000102,1000102118,2560,35,2595,3302,1236,1324
Taipei County,1000102,1000102119,2454,29,2483,3212,1136,1318
Taipei County,1000103,1000103001,3098,42,3140,4034,1334,1764
Taipei County,1000103,1000103002,5751,58,5809,7236,1999,3752
Taipei County,1000103,1000103003,2837,29,2866,3620,1094,1743
Taipei County,1000103,1000103004,2930,28,2958,3744,1050,1880
Taipei County,1000103,1000103005,2785,26,2811,3525,1001,1784
Taipei County,1000103,1000103006,2720,22,2742,3288,708,2012
Taipei County,1000103,1000103007,1116,8,1124,1399,254,862
Taipei County,1000103,1000103008,4120,34,4154,5116,1287,2833
Taipei County,1000103,1000103009,3791,36,3827,4631,1196,2595
Taipei County,1000103,1000103010,2439,21,2460,3071,853,1586
Taipei County,1000103,1000103011,2273,17,2290,2847,838,1435
Taipei County,1000103,1000103012,3030,44,3074,3862,1136,1894
Taipei County,1000103,1000103013,2722,35,2757,3440,1097,1625
Taipei County,1000103,1000103014,2966,39,3005,3702,1045,1921
Taipei County,1000103,1000103015,3280,31,3311,4059,1244,2036
Taipei County,1000103,1000103016,3208,41,3249,4043,1208,2000
Taipei County,1000103,1000103017,3364,43,3407,4295,1180,2184
Taipei County,1000103,1000103018,2591,29,2620,3265,948,1643
Taipei County,1000103,1000103019,3308,37,3345,4137,1134,2174
Taipei County,1000103,1000103020,2503,27,2530,3098,622,1881
Taipei County,1000103,1000103021,2092,27,2119,2584,631,1461
Taipei County,1000103,1000103022,3571,38,3609,4379,902,2669
Taipei County,1000103,1000103023,3019,21,3040,3719,732,2287
Taipei County,1000103,1000103024,2598,20,2618,3243,791,1807
Taipei County,1000103,1000103025,5478,38,5516,6749,1597,3881
Taipei County,1000103,1000103026,3624,25,3649,4493,1115,2509
Taipei County,1000103,1000103027,3110,25,3135,3873,974,2136
Taipei County,1000103,1000103028,2473,21,2494,3065,769,1704
Taipei County,1000103,1000103029,3407,37,3444,4193,1009,2398
Taipei County,1000103,1000103030,4339,40,4379,5413,1126,3213
Taipei County,1000103,1000103031,3351,46,3397,4239,731,2620
Taipei County,1000103,1000103032,2765,34,2799,3428,676,2089
Taipei County,1000103,1000103033,2095,21,2116,2620,627,1468
Taipei County,1000103,1000103034,2161,20,2181,2703,564,1597
Taipei County,1000103,1000103035,4583,52,4635,5835,1070,3513
Taipei County,1000103,1000103036,3072,30,3102,3797,402,2670
Taipei County,1000103,1000103037,2806,42,2848,3544,666,2140
Taipei County,1000103,1000103038,3524,33,3557,4457,816,2708
Taipei County,1000103,1000103039,2551,25,2576,3159,600,1951
Taipei County,1000103,1000103040,2180,23,2203,2777,568,1612
Taipei County,1000103,1000103041,269,2,271,343,121,148
Taipei County,1000103,1000103042,3471,35,3506,4365,933,2538
Taipei County,1000103,1000103043,1717,21,1738,2127,549,1168
Taipei County,1000103,1000103044,2831,34,2865,4897,810,2021
Taipei County,1000103,1000103045,3755,39,3794,4678,1105,2650
Taipei County,1000103,1000103046,3038,30,3068,3760,884,2154
Taipei County,1000103,1000103047,3357,40,3397,4287,927,2430
Taipei County,1000103,1000103048,2582,30,2612,3243,826,1756
Taipei County,1000103,1000103049,3306,39,3345,4146,955,2351
Taipei County,1000103,1000103050,3503,43,3546,4301,983,2520
Taipei County,1000103,1000103051,2249,17,2266,2736,672,1577
Taipei County,1000103,1000103052,3412,30,3442,4247,1210,2202
Taipei County,1000103,1000103053,1285,6,1291,1587,363,922
Taipei County,1000103,1000103054,443,1,444,562,185,258
Taipei County,1000103,1000103055,3850,36,3886,4834,1499,2351
Taipei County,1000103,1000103056,1887,20,1907,2284,808,1079
Taipei County,1000103,1000103057,3026,31,3057,3795,1231,1795
Taipei County,1000103,1000103058,1866,18,1884,2337,700,1166
Taipei County,1000103,1000103059,3687,37,3724,4702,1558,2129
Taipei County,1000103,1000103060,2490,21,2511,3230,932,1558
Taipei County,1000103,1000103061,3338,42,3380,4257,1318,2020
Taipei County,1000103,1000103062,3004,37,3041,3841,1232,1772
Taipei County,1000103,1000103063,1543,11,1554,1899,500,1043
Taipei County,1000103,1000103064,2922,29,2951,3629,1240,1682
Taipei County,1000103,1000103065,2197,22,2219,2782,910,1287
Taipei County,1000103,1000103066,3291,35,3326,4184,1348,1943
Taipei County,1000103,1000103067,2983,21,3004,3713,1144,1839
Taipei County,1000103,1000103068,2999,30,3029,3714,1163,1836
Taipei County,1000103,1000103069,2582,33,2615,3218,1006,1576
Taipei County,1000103,1000103070,3012,34,3046,3691,657,2355
Taipei County,1000103,1000103071,2654,38,2692,3405,1063,1591
Taipei County,1000103,1000103072,2753,37,2790,3443,632,2121
Taipei County,1000103,1000103073,3492,28,3520,4350,1043,2449
Taipei County,1000103,1000103074,1311,8,1319,1620,343,968
Taipei County,1000103,1000103075,3041,25,3066,3702,830,2211
Taipei County,1000103,1000103076,1928,18,1946,2353,600,1328
Taipei County,1000103,1000103077,1656,13,1669,2095,377,1279
Taipei County,1000103,1000103078,2263,28,2291,2931,618,1645
Taipei County,1000103,1000103079,1573,24,1597,2005,519,1054
Taipei County,1000103,1000103080,2939,34,2973,3650,646,2293
Taipei County,1000103,1000103081,3366,33,3399,4207,1006,2360
Taipei County,1000103,1000103082,1965,22,1987,2466,579,1386
Taipei County,1000103,1000103083,1906,13,1919,2380,731,1175
Taipei County,1000103,1000103084,2418,19,2437,3036,936,1482
Taipei County,1000103,1000103085,2595,24,2619,3242,990,1605
Taipei County,1000103,1000103086,2598,25,2623,3331,955,1643
Taipei County,1000103,1000103087,2174,26,2200,2730,841,1333
Taipei County,1000103,1000103088,1757,19,1776,2285,790,967
Taipei County,1000103,1000103089,2777,29,2806,3561,1065,1712
Taipei County,1000103,1000103090,2485,18,2503,3072,985,1500
Taipei County,1000103,1000103091,2088,34,2122,2718,883,1205
Taipei County,1000103,1000103092,2415,49,2464,3136,586,1829
Taipei County,1000103,1000103093,1877,21,1898,2373,563,1314
Taipei County,1000104,1000104001,2488,21,2509,3086,722,1766
Taipei County,1000104,1000104002,1819,15,1834,2291,477,1342
Taipei County,1000104,1000104003,2514,18,2532,4032,657,1857
Taipei County,1000104,1000104004,2148,11,2159,2702,581,1567
Taipei County,1000104,1000104005,1848,13,1861,2301,579,1269
Taipei County,1000104,1000104006,2497,33,2530,3145,758,1739
Taipei County,1000104,1000104007,2078,19,2097,2587,561,1517
Taipei County,1000104,1000104008,2108,16,2124,2683,512,1596
Taipei County,1000104,1000104009,720,5,725,904,70,650
Taipei County,1000104,1000104010,568,2,570,708,57,511
Taipei County,1000104,1000104011,3479,25,3504,4216,989,2490
Taipei County,1000104,1000104012,2518,23,2541,3133,836,1682
Taipei County,1000104,1000104013,4738,19,4757,5797,1390,3348
Taipei County,1000104,1000104014,3412,29,3441,4227,1087,2325
Taipei County,1000104,1000104015,2946,21,2967,3607,807,2139
Taipei County,1000104,1000104016,3120,28,3148,3919,830,2290
Taipei County,1000104,1000104017,3115,28,3143,3909,777,2338
Taipei County,1000104,1000104018,2097,16,2113,2675,600,1497
Taipei County,1000104,1000104019,838,6,844,1076,304,534
Taipei County,1000104,1000104020,2725,20,2745,3443,887,1838
Taipei County,1000104,1000104021,2057,18,2075,2573,605,1452
Taipei County,1000104,1000104022,1343,14,1357,1757,371,972
Taipei County,1000104,1000104023,2670,26,2696,3394,695,1975
Taipei County,1000104,1000104024,2740,22,2762,3429,786,1954
Taipei County,1000104,1000104025,2611,17,2628,3260,648,1963
Taipei County,1000104,1000104026,2831,25,2856,3544,749,2082
Taipei County,1000104,1000104027,2148,18,2166,2637,637,1511
Taipei County,1000104,1000104028,1858,20,1878,2368,479,1379
Taipei County,1000104,1000104029,1818,21,1839,2261,541,1277
Taipei County,1000104,1000104030,2917,24,2941,3590,722,2195
Taipei County,1000104,1000104031,3354,21,3375,4191,836,2518
Taipei County,1000104,1000104032,1882,19,1901,2333,495,1387
Taipei County,1000104,1000104033,3274,28,3302,4055,1107,2167
Taipei County,1000104,1000104034,2597,14,2611,3239,737,1860
Taipei County,1000104,1000104035,3280,27,3307,4045,833,2447
Taipei County,1000104,1000104036,1177,11,1188,1542,307,870
Taipei County,1000104,1000104037,1755,14,1769,2184,425,1330
Taipei County,1000104,1000104038,3472,25,3497,4372,921,2551
Taipei County,1000104,1000104039,3099,22,3121,3805,816,2283
Taipei County,1000104,1000104040,2468,24,2492,3071,671,1797
Taipei County,1000104,1000104041,615,9,624,775,132,483
Taipei County,1000104,1000104042,748,8,756,904,120,628
Taipei County,1000104,1000104043,1354,12,1366,1737,351,1003
Taipei County,1000104,1000104044,3234,43,3277,4029,1000,2234
Taipei County,1000104,1000104045,1674,8,1682,2107,479,1195
Taipei County,1000104,1000104046,2680,24,2704,3367,882,1798
Taipei County,1000104,1000104047,3378,33,3411,4142,1036,2342
Taipei County,1000104,1000104048,2255,13,2268,2805,617,1638
Taipei County,1000104,1000104049,2873,21,2894,3537,881,1992
Taipei County,1000104,1000104050,1895,23,1918,2364,535,1360
Taipei County,1000104,1000104051,2472,12,2484,3153,578,1894
Taipei County,1000104,1000104052,847,7,854,1095,226,621
Taipei County,1000104,1000104053,1560,22,1582,2026,453,1107
Taipei County,1000104,1000104054,2361,22,2383,3023,616,1745
Taipei County,1000104,1000104055,2561,24,2585,3229,622,1939
Taipei County,1000104,1000104056,2580,21,2601,3361,701,1879
Taipei County,1000104,1000104057,1750,18,1768,2202,553,1197
Taipei County,1000104,1000104058,1296,16,1312,1673,466,830
Taipei County,1000104,1000104059,2092,22,2114,2590,642,1450
Taipei County,1000104,1000104060,2233,17,2250,2780,657,1576
Taipei County,1000104,1000104061,1715,15,1730,2163,522,1193
Taipei County,1000104,1000104062,5668,49,5717,7010,1479,4189
Taipei County,1000105,1000105001,3613,36,3649,4595,1633,1980
Taipei County,1000105,1000105002,2557,30,2587,3314,1414,1143
Taipei County,1000105,1000105003,1110,12,1122,1417,438,672
Taipei County,1000105,1000105004,2928,27,2955,3686,1308,1620
Taipei County,1000105,1000105005,1659,17,1676,2125,758,901
Taipei County,1000105,1000105006,2459,21,2480,3197,1126,1333
